id,task,downloads,likes,tags,description
fushh7/LLMDet,zero-shot-object-detection,0,23,"safetensors, zero-shot-object-detection, arxiv:2501.18954, license:apache-2.0, region:us",This is the official PyTorch implementation of [LLMDet](https://arxiv.org/abs/2501.18954). Please see our [GitHub](https://github.com/iSEE-Laboratory/LLMDet).
Dijaaa/videomae-base-finetuned-kinetics-finetuned-ucf-crime-subset,video-classification,77,0,"transformers, tensorboard, safetensors, videomae, video-classification, endpoints_compatible, region:us",
SWivid/E2-TTS,text-to-speech,111128,57,"f5-tts, text-to-speech, dataset:amphion/Emilia-Dataset, arxiv:2406.18009, license:cc-by-nc-4.0, region:us",Download [F5-TTS](https://huggingface.co/SWivid/F5-TTS/tree/main/F5TTS_Base) or [E2 TTS](https://huggingface.co/SWivid/E2-TTS/tree/main/E2TTS_Base) and place under ckpts/
ustc-community/dfine-xlarge-coco,object-detection,2527,9,"transformers, safetensors, d_fine, object-detection, vision, en, dataset:coco, arxiv:2410.13842",The D-FINE model was proposed in [D-FINE: Redefine Regression Task in DETRs as Fine-grained Distribution Refinement](https://arxiv.org/abs/2410.13842) by
sentence-transformers/distiluse-base-multilingual-cased-v1,sentence-similarity,1030173,130,"sentence-transformers, pytorch, tf, onnx, safetensors, openvino, distilbert, feature-extraction",This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 512 dimensional dense vector space and can be used for tasks like clustering or semantic search.
John6666/autismmix-sdxl-autismmix-pony-sdxl,text-to-image,24785,5,"diffusers, safetensors, text-to-image, stable-diffusion, stable-diffusion-xl, anime, pony, en",Original model is [here](https://civitai.com/models/288584?modelVersionId=324619).
pragatiparijat/pragatingp,image-text-to-video,0,1,"adapter-transformers, agent, biology, image-text-to-video, ak, ab, aa, ar",
larsquaedvlieg/TRELLIS-image-large-fork,image-to-3d,37,0,"trellis, image-to-3d, en, arxiv:2412.01506, license:mit, region:us","The image conditioned version of TRELLIS, a large 3D genetive model. It was introduced in the paper [Structured 3D Latents for Scalable and Versatile 3D Generation](https://huggingface.co/papers/2412."
neulab/omnitab-large-16shot,table-question-answering,7,2,"transformers, pytorch, bart, text2text-generation, tapex, table-question-answering, en, dataset:wikitablequestions",OmniTab is a table-based QA model proposed in [OmniTab: Pretraining with Natural and Synthetic Data for Few-shot Table-based Question Answering](https://arxiv.org/pdf/2207.03637.pdf). The original Git
OpenGVLab/VideoChat-Flash-Qwen2_5-7B_InternVideo2-1B,video-text-to-text,971,7,"transformers, safetensors, videochat_flash_qwen, feature-extraction, multimodal, video-text-to-text, custom_code, en",[\[📰 Blog\]](https://internvideo.github.io/blog/2024-12-31-VideoChat-Flash) [\[📂 GitHub\]](https://github.com/OpenGVLab/VideoChat-Flash)   [\[📜 Tech Report\]](https://www.arxiv.org/abs/2501.00574) [\[
Sharka/CIVQA_Impira_QA,document-question-answering,7,0,"transformers, pytorch, layoutlm, document-question-answering, license:mit, endpoints_compatible, region:us","This is a fine-tuned version of the [Impira  model](https://huggingface.co/impira/layoutlm-document-qa), which was trained on Czech Invoice Visual Question Answering (CIVQA) datasets containing invoic"
stabilityai/stable-diffusion-3.5-large-controlnet-canny,text-to-image,55412,15,"diffusers, safetensors, stable-diffusion, controlnet, text-to-image, en, arxiv:2302.05543, license:other",This repository provides the Canny ControlNet for [Stable Diffusion 3.5 Large.](https://stability.ai/news/introducing-stable-diffusion-3-5).
Sharka/CIVQA_LayoutXLM,document-question-answering,15,2,"transformers, pytorch, layoutlmv2, document-question-answering, document question answering, cs, dataset:fimu-docproc-research/CIVQA-TesseractOCR, license:mit","This is a fine-tuned version of the [LayoutXLM model](https://huggingface.co/microsoft/layoutxlm-base), which was trained on Czech Invoice Visual Question Answering (CIVQA) datasets containing invoice"
jameslahm/yoloe-11s-seg,zero-shot-object-detection,7,0,"safetensors, model_hub_mixin, pytorch_model_hub_mixin, zero-shot-object-detection, arxiv:2503.07465, license:agpl-3.0, region:us",[YOLOE: Real-Time Seeing Anything](https://arxiv.org/abs/2503.07465)
YuchenShen/FoMo-0D,tabular-classification,14,0,"safetensors, model_hub_mixin, pytorch_model_hub_mixin, tabular-classification, license:mit, region:us",This model has been pushed to the Hub using the [PytorchModelHubMixin](https://huggingface.co/docs/huggingface_hub/package_reference/mixins#huggingface_hub.PyTorchModelHubMixin) integration:
SPRINGLab/EZ-VC,audio-to-audio,133,5,"f5-tts, audio-to-audio, arxiv:2410.06885, license:cc-by-nc-4.0, region:us",
deepset/tinyroberta-squad2,question-answering,134246,113,"transformers, pytorch, safetensors, roberta, question-answering, en, dataset:squad_v2, arxiv:1909.10351",This is the *distilled* version of the [deepset/roberta-base-squad2](https://huggingface.co/deepset/roberta-base-squad2) model. This model has a comparable prediction quality and runs at twice the spe
cahya/bert2bert-indonesian-summarization,summarization,820,5,"transformers, pytorch, encoder-decoder, text2text-generation, pipeline:summarization, summarization, bert2bert, id",Finetuned BERT-base summarization model for Indonesian.
trackdr/LLaMA-Mesh-Q4_K_M-GGUF,text-to-3d,42,1,"transformers, gguf, mesh-generation, llama-cpp, gguf-my-repo, text-to-3d, base_model:Zhengyi/LLaMA-Mesh, base_model:quantized:Zhengyi/LLaMA-Mesh",This model was converted to GGUF format from [`Zhengyi/LLaMA-Mesh`](https://huggingface.co/Zhengyi/LLaMA-Mesh) using llama.cpp via the ggml.ai's [GGUF-my-repo](https://huggingface.co/spaces/ggml-org/g
paige-ai/Virchow,image-feature-extraction,21140,72,"timm, pytorch, safetensors, image-feature-extraction, PyTorch, license:apache-2.0, region:us",
Fuyucchi/yolov8_animeface,object-detection,1278,12,"ultralytics, anime, face, yolov8, face detection, object-detection, base_model:Ultralytics/YOLOv8, base_model:finetune:Ultralytics/YOLOv8",Anime Face Detection using YOLOv8
onnx-community/depth-anything-v2-base,depth-estimation,250,0,"transformers.js, onnx, depth_anything, depth-estimation, base_model:depth-anything/Depth-Anything-V2-Base, base_model:quantized:depth-anything/Depth-Anything-V2-Base, license:cc-by-nc-4.0, region:us",https://huggingface.co/depth-anything/Depth-Anything-V2-Base with ONNX weights to be compatible with Transformers.js.
Qwen/Qwen2.5-Omni-7B,any-to-any,473685,1887,"transformers, safetensors, qwen2_5_omni, multimodal, any-to-any, en, arxiv:2503.20215, license:other","Qwen2.5-Omni is an end-to-end multimodal model designed to perceive diverse modalities, including text, images, audio, and video, while simultaneously generating text and natural speech responses in a"
naver/trecdl22-crossencoder-debertav3,text-ranking,812,3,"sentence-transformers, pytorch, safetensors, deberta-v2, text-ranking, license:cc-by-nc-sa-4.0, region:us",
nvidia/segformer-b2-finetuned-cityscapes-1024-1024,image-segmentation,16930,2,"transformers, pytorch, tf, segformer, vision, image-segmentation, dataset:cityscapes, arxiv:2105.15203",SegFormer model fine-tuned on CityScapes at resolution 1024x1024. It was introduced in the paper [SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers](https://arxiv.org/
openbmb/MiniCPM-V,visual-question-answering,1253,200,"transformers, safetensors, minicpmv, feature-extraction, visual-question-answering, custom_code, arxiv:2308.12038, region:us","- [2025.01.14] 🔥🔥 We open source [**MiniCPM-o 2.6**](https://huggingface.co/openbmb/MiniCPM-o-2_6), with significant performance improvement over **MiniCPM-V 2.6**, and support real-time speech-to-spe"
TimKond/S-PubMedBert-MedQuAD,sentence-similarity,321958,8,"sentence-transformers, pytorch, safetensors, bert, feature-extraction, sentence-similarity, transformers, license:mit",This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 768 dimensional dense vector space and can be used for tasks like clustering or semantic search.
ETH-CVG/lightglue_superpoint,keypoint-detection,41942,63,"transformers, safetensors, lightglue, keypoint-matching, keypoint-detection, arxiv:2306.13643, license:other, endpoints_compatible",The LightGlue model was proposed
microsoft/deberta-v3-small,fill-mask,440891,75,"transformers, pytorch, tf, deberta-v2, deberta, deberta-v3, fill-mask, en","[DeBERTa](https://arxiv.org/abs/2006.03654) improves the BERT and RoBERTa models using disentangled attention and enhanced mask decoder. With those two improvements, DeBERTa out perform RoBERTa on a m"
pcoloc/autotrain-dragino-7-7-max_300m-1861063640,tabular-regression,6,1,"transformers, joblib, autotrain, tabular, regression, tabular-regression, dataset:pcoloc/autotrain-data-dragino-7-7-max_300m, co2_eq_emissions",- Problem type: Single Column Regression
pitangent-ds/YOLOv8-human-detection-thermal,object-detection,2078,7,"ultralytics, tensorboard, object-detection, pytorch, roboflow-universe, human-detection, yolov8, license:agpl-3.0",This model is can be used for detecting humans from thermal images. This should work on both Pseudo-color and Grayscale thermal images. The model was fine tuned for humans only but can be finetuned fu
DragonLLM/Llama-Open-Finance-8B,question-answering,1384,20,"transformers, safetensors, llama, text-generation, finance, economics, business, question-answering",
mispeech/GLAP,audio-text-to-text,201,6,"glap_model, safetensors, glap, audio-text-to-text, custom_code, arxiv:2506.11350, license:apache-2.0, region:us",GLAP (Generalized Language Audio Pretraining)
Qwen/Qwen3-8B,text-generation,8582115,1044,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-8B-Base","Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Built upon extensive training, Qwen3 delivers groun"
PKU-Alignment/beaver-7b-v1.0-cost,reinforcement-learning,1179,10,"safe-rlhf, safetensors, llama, reinforcement-learning-from-human-feedback, reinforcement-learning, beaver, safety, ai-safety",The Beaver cost model is a preference model trained using the [PKU-SafeRLHF](https://huggingface.co/datasets/PKU-Alignment/PKU-SafeRLHF) dataset.
PramaLLC/BEN2,image-segmentation,81380,228,"ben2, onnx, safetensors, BEN2, background-remove, mask-generation, Dichotomous image segmentation, background remove",BEN2 (Background Erase Network) introduces a novel approach to foreground segmentation through its innovative Confidence Guided Matting (CGM) pipeline. The architecture employs a refiner network that 
microsoft/speecht5_vc,audio-to-audio,2004,111,"transformers, pytorch, speecht5, audio, audio-to-audio, dataset:cmu-arctic, arxiv:2110.07205, license:mit",SpeechT5 model fine-tuned for voice conversion (speech-to-speech) on CMU ARCTIC.
asosoft/KuBERT-Central-Kurdish-BERT-Model,zero-shot-classification,315,6,"transformers, safetensors, bert, feature-extraction, zero-shot-classification, endpoints_compatible, deploy:azure, region:us",KuBERT-Central-Kurdish-BERT-Model harnesses the BERT framework to enhance computational linguistics for the Central Kurdish language. This initiative is a response to the scarcity of resources and com
Cognitive-Lab/ColNetraEmbed,visual-document-retrieval,137,4,"transformers, safetensors, gemma3, image-text-to-text, vision-language, retrieval, colbert, late-interaction","**ColNetraEmbed** is a state-of-the-art multilingual multimodal embedding model for visual document retrieval, powered by the Gemma3 backbone and using Colbert-style multi-vector representations."
timm/efficientnetv2_rw_m.agc_in1k,image-classification,59908,1,"timm, pytorch, safetensors, image-classification, transformers, dataset:imagenet-1k, arxiv:2110.00476, arxiv:2104.00298",A EfficientNet-v2 image classification model. This is a `timm` specific variation of the architecture. Trained on ImageNet-1k in `timm` using recipe template described below.
timm/convnext_base.clip_laion2b,image-feature-extraction,96334,0,"timm, pytorch, safetensors, image-feature-extraction, transformers, license:apache-2.0, region:us",`timm` CLIP (image encoder only) weights from https://huggingface.co/laion/CLIP-convnext_base_w-laion2B-s13B-b82K
OpenMed/OpenMed-NER-DiseaseDetect-BioMed-335M,token-classification,161134,7,"transformers, safetensors, bert, token-classification, named-entity-recognition, biomedical-nlp, disease-entity-recognition, medical-diagnosis",**Specialized model for Disease Entity Recognition - Disease entities from the BC5CDR dataset**
openmmlab/upernet-swin-large,image-segmentation,6847,1,"transformers, pytorch, safetensors, upernet, vision, image-segmentation, en, arxiv:1807.10221","UperNet framework for semantic segmentation, leveraging a Swin Transformer backbone. UperNet was introduced in the paper [Unified Perceptual Parsing for Scene Understanding](https://arxiv.org/abs/1807"
mlx-community/parakeet-tdt-0.6b-v3,automatic-speech-recognition,468851,38,"mlx, safetensors, automatic-speech-recognition, speech, audio, FastConformer, Conformer, Parakeet",This model was converted to MLX format from [nvidia/parakeet-tdt-0.6b-v3](https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3) using [the conversion script](https://gist.github.com/senstella/77178bb5d6
PaddlePaddle/PP-FormulaNet_plus-L,image-to-text,5981,3,"PaddleOCR, OCR, PaddlePaddle, formula_recognition, image-to-text, en, zh, license:apache-2.0","PP-FormulaNet_plus is an enhanced version of the formula recognition model developed by the PaddleOCR Team, building upon the original PP-FormulaNet. Compared to the original version, PP-FormulaNet_pl"
shipitirl/Hunyuan3D-2.1,image-to-3d,55,0,"hunyuan3d-2, diffusers, safetensors, image-to-3d, text-to-3d, en, zh, arxiv:2506.15442","If you found this repository helpful, please cite our report:"
hotchpotch/japanese-reranker-cross-encoder-base-v1,text-ranking,1069,2,"sentence-transformers, safetensors, bert, text-ranking, ja, dataset:hotchpotch/JQaRA, dataset:shunk031/JGLUE, dataset:miracl/miracl",日本語で学習させた Reranker (CrossEncoder) シリーズです。
moussaKam/barthez-orangesum-abstract,summarization,562,7,"transformers, pytorch, mbart, text2text-generation, summarization, bart, fr, arxiv:2010.12321",finetuning: examples/seq2seq (as of Feb 08 2021)
lmstudio-community/gemma-3n-E4B-it-MLX-4bit,image-text-to-text,338347,2,"transformers, safetensors, gemma3n, image-text-to-text, automatic-speech-recognition, automatic-speech-translation, audio-text-to-text, video-text-to-text",*👾 [LM Studio](https://lmstudio.ai) Community models highlights program. Highlighting new & noteworthy models by the community. Join the conversation on [Discord](https://discord.gg/aPQfnNkxGC)*.
jonatasgrosman/wav2vec2-large-xlsr-53-polish,automatic-speech-recognition,1846498,12,"transformers, pytorch, jax, wav2vec2, automatic-speech-recognition, audio, hf-asr-leaderboard, mozilla-foundation/common_voice_6_0",Fine-tuned [facebook/wav2vec2-large-xlsr-53](https://huggingface.co/facebook/wav2vec2-large-xlsr-53) on Polish using the train and validation splits of [Common Voice 6.1](https://huggingface.co/datase
unslothai/vram-80,feature-extraction,142662,0,"transformers, safetensors, llama, feature-extraction, endpoints_compatible, region:us",
mradermacher/flawed-fictions-qwen3-4b-i1-GGUF,reinforcement-learning,1039,0,"transformers, gguf, reinforcement-learning, grpo, flawed-fictions, qwen3, continuity-detection, synthetic-data",weighted/imatrix quants of https://huggingface.co/agurung/flawed-fictions-qwen3-4b
PhilipC/HumanOmniV2,video-text-to-text,399,19,"transformers, safetensors, qwen2_5_omni_thinker, image-text-to-text, video-text-to-text, arxiv:2506.21277, license:apache-2.0, endpoints_compatible",- Paper: [HumanOmniV2: From Understanding to Omni-Modal Reasoning with Context](https://huggingface.co/papers/2506.21277) ([Arxiv](https://arxiv.org/abs/2506.21277))
timm/edgenext_small.usi_in1k,image-classification,271619,6,"timm, pytorch, safetensors, image-classification, transformers, dataset:imagenet-1k, arxiv:2206.10589, arxiv:2204.03475",An EdgeNeXt image classification model. Trained on ImageNet-1k by paper authors using distillation (`USI` as per `Solving ImageNet`).
ostris/zimage_turbo_training_adapter,text-to-image,49241,132,"diffusers, text-to-image, lora, template:diffusion-lora, base_model:Tongyi-MAI/Z-Image-Turbo, base_model:adapter:Tongyi-MAI/Z-Image-Turbo, license:apache-2.0, region:us",This is a training adapter designed to be used for fine-tuning [Tongyi-MAI/Z-Image-Turbo](https://huggingface.co/Tongyi-MAI/Z-Image-Turbo).
OpenGVLab/VideoMAEv2-giant,video-classification,584,5,"safetensors, VideoMAEv2_Base, vision, video-classification, custom_code, arxiv:2203.12602, arxiv:2303.16727, license:cc-by-nc-4.0",VideoMAEv2-giant model pre-trained for 1200 epochs in a self-supervised way on UnlabeldHybrid-1M dataset. It was introduced in the paper [[CVPR23]VideoMAE V2: Scaling Video Masked Autoencoders with Du
gokulkarthik/xlm-roberta-qa-chaii,question-answering,2079,0,"transformers, pytorch, xlm-roberta, question-answering, en, ta, hi, dataset:squad","pre-trained XLM-Roberta with intermediate pre-training on SQUAD dataset (English) and fine tuning on Chaii dataset (Tamil, Hindi)"
gudaochangsheng/RefAlign-1.3B,image-text-to-video,0,0,"image-text-to-video, dataset:BestWishYsh/OpenS2V-5M, dataset:ZhuoweiChen/Phantom-data-Koala36M, arxiv:2603.25743, base_model:Wan-AI/Wan2.1-T2V-1.3B, base_model:finetune:Wan-AI/Wan2.1-T2V-1.3B, license:mit, region:us",&dagger;Corresponding authors *Interns in Baidu Inc. &ddagger;Equal Contribution
leejet/Z-Image-Turbo-GGUF,text-to-image,24527,37,"gguf, text-to-image, image-generation, stable-diffusion.cpp, z-image-turbo, z-image, en, zh",The license of the quantized files follows the license of the original model:
QiWang98/VideoRFT,video-text-to-text,200,5,"transformers, safetensors, qwen2_5_vl, image-text-to-text, video-text-to-text, en, dataset:QiWang98/VideoRFT-Data, arxiv:2505.12434","This repository contains the `VideoRFT` model, presented in the paper [VideoRFT: Incentivizing Video Reasoning Capability in MLLMs via Reinforced Fine-Tuning](https://huggingface.co/papers/2505.12434)"
wangdy/autotrain-godaddy2-38507101578,tabular-regression,1,0,"transformers, joblib, knn, autotrain, tabular, regression, tabular-regression, dataset:wangdy/autotrain-data-godaddy2",- Problem type: Single Column Regression
facebook/mbart-large-cc25,translation,11112,69,"transformers, pytorch, tf, mbart, text2text-generation, translation, en, ar",Pretrained (not finetuned) multilingual mbart model.
timm/convnext_small.in12k_ft_in1k,image-classification,49019,0,"timm, pytorch, safetensors, image-classification, transformers, dataset:imagenet-1k, dataset:imagenet-12k, arxiv:2201.03545",A ConvNeXt image classification model. Pretrained in `timm` on ImageNet-12k (a 11821 class subset of full ImageNet-22k) and fine-tuned on ImageNet-1k by Ross Wightman.
Qwen/Qwen3.5-35B-A3B-FP8,image-text-to-text,1867601,146,"transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-35B-A3B, base_model:quantized:Qwen/Qwen3.5-35B-A3B, license:apache-2.0",> This repository contains FP8-quantized model weights and configuration files for the post-trained model in the Hugging Face Transformers format.
alexeisenach/SD3.5-Med-LoRA-Lineart,image-text-to-image,0,0,"image-text-to-image, en, base_model:stabilityai/stable-diffusion-3.5-medium, base_model:finetune:stabilityai/stable-diffusion-3.5-medium, region:us",
nvidia/NV-Generate-MR-Brain,unconditional-image-generation,334,16,"latent_diffusion, medical-imaging, diffusion, unconditional-image-generation, dataset:Forithmus/MR-RATE, arxiv:2508.05772, arxiv:2409.11169, license:other","NV-Generate-MR-Brain is a three-dimensional (3D) latent diffusion model designed to generate high-quality synthetic brain magnetic resonance imaging (MRI) images, achieving the highest resolution and "
Prior-Labs/tabpfn_2_6,tabular-classification,7860,14,"chemistry, biology, finance, legal, climate, medical, tabular-classification, license:other",TabPFN-2.6 is a transformer-based foundation model that uses in-context-learning to solve tabular prediction problems in a forward pass.
ductai199x/sam_hq_vit_huge,mask-generation,7,0,"transformers, safetensors, sam_hq, mask-generation, custom_code, arxiv:2306.01567, license:apache-2.0, endpoints_compatible",Directly converted weights from [https://github.com/SysCV/sam-hq/tree/main](https://github.com/SysCV/sam-hq/tree/main) to huggingface format.
llmrobot/qwen-image-layered-int8-sdnq,image-text-to-image,5,0,"diffusers, safetensors, quantized, qwen, image-text-to-image, en, zh, base_model:Qwen/Qwen-Image-Layered",8 bit (int8 with SVD rank 128) quantization of [Qwen/Qwen-Image-Layered](https://huggingface.co/Qwen/Qwen-Image-Layered) using [SDNQ](https://github.com/Disty0/sdnq).
bibekbehera/autotrain-numeric_prediction-40376105019,tabular-regression,9,0,"transformers, joblib, xgboost, autotrain, tabular, regression, tabular-regression, dataset:bibekbehera/autotrain-data-numeric_prediction",- Problem type: Single Column Regression
Qwen/Qwen3-0.6B,text-generation,15063024,1190,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-0.6B-Base, base_model:finetune:Qwen/Qwen3-0.6B-Base","Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Built upon extensive training, Qwen3 delivers groun"
BAAI/bge-small-zh-v1.5,feature-extraction,1793287,109,"transformers, pytorch, safetensors, bert, feature-extraction, zh, arxiv:2310.07554, arxiv:2309.07597",More details please refer to our Github: [FlagEmbedding](https://github.com/FlagOpen/FlagEmbedding).
SWivid/F5-TTS,text-to-speech,668808,1160,"f5-tts, text-to-speech, dataset:amphion/Emilia-Dataset, arxiv:2410.06885, license:cc-by-nc-4.0, region:us",Download [F5-TTS](https://huggingface.co/SWivid/F5-TTS/tree/main/F5TTS_Base) or [E2 TTS](https://huggingface.co/SWivid/E2-TTS/tree/main/E2TTS_Base) and place under ckpts/
image-matching-models/eloftr,keypoint-detection,82,0,"image-matching-models, image-matching, keypoint-detection, feature-matching, license:apache-2.0, region:us",For usage see https://github.com/gmberton/image-matching-models
Helsinki-NLP/opus-mt-zh-en,translation,206963,551,"transformers, pytorch, tf, rust, marian, text2text-generation, translation, zh",- [Model Details](#model-details)
iitolstykh/YOLO-Face-Person-Detector,object-detection,8179,15,"ultralytics, safetensors, yolov8, yolo, object-detection, computer-vision, face-detection, person-detection",This model is a fine-tuned version of **YOLOv8x** specialized in detecting two specific classes: **Face** and **Person**.
lighteternal/nli-xlm-r-greek,zero-shot-classification,18846,2,"transformers, pytorch, xlm-roberta, text-classification, xlm-roberta-base, zero-shot-classification, el, en",This model was trained using [SentenceTransformers](https://sbert.net) [Cross-Encoder](https://www.sbert.net/examples/applications/cross-encoder/README.html) class.
Dhineshk/TestDocumentQuestionAnswering,document-question-answering,6,0,"transformers, pytorch, layoutlmv2, document-question-answering, generated_from_trainer, base_model:microsoft/layoutlmv2-base-uncased, base_model:finetune:microsoft/layoutlmv2-base-uncased, license:cc-by-nc-sa-4.0","should probably proofread and complete it, then remove this comment. -->"
keras-io/tab_transformer,tabular-classification,8,43,"tf-keras, tensorboard, tabular-classification, transformer, region:us",This repo contains the trained model of [Structured data learning with TabTransformer](https://keras.io/examples/structured_data/tabtransformer/#define-dataset-metadata).
dzur658/mlx-unet-mnist,image-text-to-image,32,0,"mlx, image-text-to-image, license:mit, region:us",This is a toy model I made trained on the MNIST numbers dataset using MLX. It can draw the digits 0-9.
magespace/Wan2.2-I2V-A14B-Lightning-Diffusers,text-to-video,39198,2,"diffusers, safetensors, text-to-video, arxiv:2503.20314, arxiv:2309.14509, license:apache-2.0, diffusers:WanImageToVideoPipeline, region:us","💜 <a href=""https://wan.video""><b>Wan</b></a> &nbsp&nbsp ｜ &nbsp&nbsp 🖥️ <a href=""https://github.com/Wan-Video/Wan2.2"">GitHub</a> &nbsp&nbsp  | &nbsp&nbsp🤗 <a href=""https://huggingface.co/Wan-AI/"">Hugg"
facebook/sam2.1-hiera-tiny,mask-generation,26593,23,"transformers, safetensors, sam2_video, feature-extraction, mask-generation, arxiv:2408.00714, license:apache-2.0, endpoints_compatible","Repository for SAM 2: Segment Anything in Images and Videos, a foundation model towards solving promptable visual segmentation in images and videos from FAIR. See the [SAM 2 paper](https://arxiv.org/a"
Crosby117/Poison,image-text-to-video,0,0,"allennlp, agent, image-text-to-video, en, dataset:Roman1111111/claude-opus-4.6-10000x, arxiv:1910.09700, base_model:hakurei/Literature-7B-16384, base_model:finetune:hakurei/Literature-7B-16384",This modelcard aims to be a base template for new models. It has been generated using [this raw template](https://github.com/huggingface/huggingface_hub/blob/main/src/huggingface_hub/templates/modelca
iloncka/culico-net-segm-v1-nano,mask-generation,7,0,"sam2, mask-generation, segmentation, instance-segmentation, video-segmentation, dataset:iloncka/mosquito-species-segmentation-dataset, arxiv:2408.00714, base_model:facebook/sam2-hiera-tiny",Model Card for `culico-net-segm-v1-nano`
facebook/mms-tts-eng,text-to-speech,144837,175,"transformers, pytorch, safetensors, vits, text-to-audio, mms, text-to-speech, arxiv:2305.13516",This repository contains the **English (eng)** language text-to-speech (TTS) model checkpoint.
Jackrong/Qwen3.5-9B-Claude-4.6-Opus-Reasoning-Distilled-GGUF,image-text-to-image,578026,263,"gguf, qwen3_5, unsloth, qwen, qwen3.5, reasoning, chain-of-thought, lora","🔥 **Update (April 5):** I’ve released the complete training notebook, codebase, and a comprehensive PDF guide to help beginners and enthusiasts understand and reproduce this model's fine-tuning proces"
PORTULAN/serafim-335m-portuguese-pt-sentence-encoder-ir,sentence-similarity,277455,0,"sentence-transformers, safetensors, bert, feature-extraction, sentence-similarity, transformers, pt, arxiv:2407.19527",This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 1024 dimensional dense vector space and can be used for tasks like clustering or semantic search.
chenjh007/image-model,image-text-to-image,0,0,"transformers, image-text-to-image, zh, base_model:black-forest-labs/FLUX.1-dev, base_model:finetune:black-forest-labs/FLUX.1-dev, license:apache-2.0, endpoints_compatible, region:us",
tiennvcs/layoutlmv2-large-uncased-finetuned-vi-infovqa,document-question-answering,9,0,"transformers, pytorch, tensorboard, layoutlmv2, document-question-answering, generated_from_trainer, license:cc-by-nc-sa-4.0, endpoints_compatible","should probably proofread and complete it, then remove this comment. -->"
tianweiy/DMD2,text-to-image,52544,235,"diffusers, text-to-image, stable-diffusion, diffusion distillation, arxiv:2405.14867, license:cc-by-nc-4.0, region:us","> [**Improved Distribution Matching Distillation for Fast Image Synthesis**](https://arxiv.org/abs/2405.14867),"
Video-R1/Video-R1-7B,video-text-to-text,732,15,"transformers, safetensors, qwen2_5_vl, image-text-to-text, video-text-to-text, en, dataset:Video-R1/Video-R1-data, arxiv:2503.21776",This repository contains the Video-R1-7B model as presented in [Video-R1: Reinforcing Video Reasoning in MLLMs](https://arxiv.org/pdf/2503.21776).
Qwen/Qwen3-4B-Thinking-2507,text-generation,1702160,578,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, eval-results","Over the past three months, we have continued to scale the **thinking capability** of Qwen3-4B, improving both the **quality and depth** of reasoning. We are pleased to introduce **Qwen3-4B-Thinking-2"
cavargas10/TRELLIS-text-xlarge,text-to-3d,70,0,"trellis, text-to-3d, en, arxiv:2412.01506, license:mit, region:us","The text conditioned version of TRELLIS with model size XL, a large 3D genetive model. It was introduced in the paper [Structured 3D Latents for Scalable and Versatile 3D Generation](https://huggingfa"
pnnbao-ump/VieNeu-TTS,text-to-speech,15899,68,"safetensors, qwen2, text-to-speech, vi, dataset:pnnbao-ump/VieNeu-TTS-1000h, dataset:pnnbao-ump/VieNeu-TTS-140h, base_model:neuphonic/neutts-air, base_model:finetune:neuphonic/neutts-air",**VieNeu-TTS** is an advanced on-device Vietnamese Text-to-Speech (TTS) model with **instant voice cloning**.
timm/vit_base_patch32_clip_224.laion400m_e31,zero-shot-image-classification,38029,0,"open_clip, safetensors, clip, zero-shot-image-classification, license:mit, region:us","This model is a dual use `open_clip` and `timm` model. Model name in OpenCLIP is `ViT-B-32-quickgelu`, and timm name is `vit_base_patch32_clip_224.laion400m_e31`."
MHRDYN7/videoprism-base-f16r288-finetuned-ucf101,video-classification,100,0,"transformers, safetensors, videoprism_vision_model, video-classification, dataset:sayakpaul/ucf101-subset, arxiv:1910.09700, endpoints_compatible, region:us",This is the model card of a 🤗 transformers model that has been pushed on the Hub. This model card has been automatically generated.
Cosmicvibez/LTX-2.3,image-to-video,3829,1,"diffusers, image-to-video, text-to-video, video-to-video, image-text-to-video, audio-to-video, text-to-audio, video-to-audio","This model card focuses on the LTX-2.3 model, which is a significant update to the [LTX-2 model](https://huggingface.co/Lightricks/LTX-2) with improved audio and visual quality as well as enhanced pro"
microsoft/dit-base-finetuned-rvlcdip,image-classification,70945,37,"transformers, pytorch, beit, image-classification, dit, vision, dataset:rvl_cdip, arxiv:2203.02378","Document Image Transformer (DiT) model pre-trained on IIT-CDIP (Lewis et al., 2006), a dataset that includes 42 million document images and fine-tuned on [RVL-CDIP](https://www.cs.cmu.edu/~aharley/rvl"
